Index,Deci,Demod
"555.0","-784.0","114.0"
"556.0","-112.0","51.0"
"557.0","560.0","12.0"
"558.0","1120.0","6.0"
"559.0","1440.0","25.0"
"560.0","1536.0","55.0"
"561.0","1360.0","74.0"
"562.0","976.0","70.0"
"563.0","368.0","46.0"
"564.0","-352.0","17.0"
"565.0","-1104.0","5.0"
"566.0","-1792.0","26.0"
"567.0","-2320.0","82.0"
"568.0","-2576.0","154.0"
"569.0","-2624.0","217.0"
"570.0","-2416.0","247.0"
"571.0","-2000.0","231.0"
"572.0","-1424.0","181.0"
"573.0","-752.0","112.0"
"574.0","-48.0","49.0"
"575.0","608.0","11.0"
"576.0","1104.0","6.0"
"577.0","1456.0","26.0"
"578.0","1520.0","56.0"
"579.0","1328.0","72.0"
"580.0","928.0","68.0"
"581.0","336.0","43.0"
"582.0","-320.0","16.0"
"583.0","-1152.0","4.0"
"584.0","288.0","-5.0"
"585.0","1488.0","8.0"
"586.0","1072.0","15.0"
"587.0","-560.0","4.0"
"588.0","-2160.0","24.0"
"589.0","-2608.0","69.0"
"590.0","-1456.0","107.0"
"591.0","448.0","89.0"
"592.0","1504.0","46.0"
"593.0","944.0","8.0"
"594.0","-736.0","4.0"
"595.0","-2272.0","27.0"
"596.0","-2544.0","74.0"
"597.0","-1248.0","106.0"
"598.0","592.0","85.0"
"599.0","1520.0","40.0"
"600.0","832.0","7.0"
"601.0","-864.0","6.0"
"602.0","-2336.0","29.0"
"603.0","-2480.0","77.0"
"604.0","-1056.0","102.0"
"605.0","752.0","80.0"
"606.0","1552.0","35.0"
"607.0","704.0","6.0"
"608.0","-1056.0","7.0"
"609.0","-2432.0","34.0"
"610.0","-2416.0","82.0"
"611.0","-896.0","104.0"
"612.0","896.0","77.0"
"613.0","1504.0","32.0"
"614.0","544.0","4.0"
"615.0","-1232.0","8.0"
"616.0","-2496.0","38.0"
"617.0","-2336.0","87.0"
"618.0","-736.0","105.0"
"619.0","992.0","74.0"
"620.0","1504.0","28.0"
"621.0","-1936.0","3.0"
"622.0","-2624.0","10.0"
"623.0","-1776.0","41.0"
"624.0","96.0","91.0"
"625.0","1424.0","103.0"
"626.0","1184.0","70.0"
"627.0","-352.0","24.0"
"628.0","-2048.0","3.0"
"629.0","-2624.0","32.0"
"630.0","-1552.0","27.0"
"631.0","272.0","34.0"
"632.0","1472.0","60.0"
"633.0","1056.0","74.0"
"634.0","-512.0","65.0"
"635.0","-2144.0","39.0"
"636.0","-2608.0","12.0"
"637.0","-1456.0","7.0"
"638.0","400.0","37.0"
"639.0","1520.0","97.0"
"640.0","944.0","169.0"
"641.0","176.0","226.0"
"642.0","784.0","246.0"
"643.0","1264.0","226.0"
"644.0","1488.0","168.0"
"645.0","1504.0","97.0"
"646.0","1216.0","38.0"
"647.0","800.0","7.0"
"648.0","128.0","9.0"
"649.0","-640.0","34.0"
"650.0","-1360.0","61.0"
"651.0","-2032.0","75.0"
"652.0","-2416.0","65.0"
"653.0","-2640.0","38.0"
"654.0","-2592.0","11.0"
"655.0","-2304.0","8.0"
"656.0","-1792.0","40.0"
"657.0","-1184.0","102.0"
"658.0","-480.0","175.0"
"659.0","176.0","230.0"
"660.0","816.0","248.0"
"661.0","1264.0","222.0"
"662.0","1504.0","165.0"
"663.0","1488.0","93.0"
"664.0","1216.0","36.0"
"665.0","720.0","7.0"
"666.0","96.0","10.0"
"667.0","-624.0","35.0"
"668.0","-1376.0","62.0"
"669.0","-2016.0","76.0"
"670.0","-2416.0","65.0"
"671.0","-2624.0","37.0"
"672.0","-2560.0","11.0"
"673.0","-2272.0","7.0"
"674.0","-1776.0","-10.0"
"675.0","-1168.0","17.0"
"676.0","-464.0","6.0"
"677.0","240.0","6.0"
"678.0","816.0","31.0"
"679.0","1280.0","80.0"
"680.0","1520.0","103.0"
"681.0","1504.0","79.0"
"682.0","1216.0","34.0"
"683.0","720.0","5.0"
